U+578B|xíng(317)
U+5792|lěi(28)
U+57A6|kěn(10)
U+57AB|diàn(24)
U+57AE|kuǎ(38)
U+57C3|āi(33)
U+57CB|mái(90) mán(14)
U+57CE|chéng(592)
U+57DF|yù(124)
U+57E0|bù(12)
U+57F7|zhí(218)
U+57F9|péi(144)
U+57FA|jī(895)
U+5802|táng(180) tang(10)
U+5805|jiān(695)
U+5806|duī(233)
U+5821|bǎo(24)
U+5824|dī(55)
U+582A|kān(29)
U+5830|yàn(12)
U+5831|bào(1019)
U+5834|chǎng(773) cháng(141)
U+5835|dǔ(78)
U+584A|kuài(929)
U+584C|tā(32)
U+5851|sù(113)
U+5854|tǎ(49)
U+5858|táng(81)
U+585E|sāi(75) sè(13)
U+586B|tián(53)
U+5875|chén(81)
U+5883|jìng(280)
U+588A|diàn(24)
U+5893|mù(23)
U+5899|qiáng(264)
U+589C|zhuì(13)
U+589E|zēng(601)
U+58A8|mò(50)
U+58A9|dūn(36)
U+58B3|fén(46)
U+58BE|kěn(10)
U+58C1|bì(149)
U+58D3|yā(625)
U+58D5|háo(28)
U+58D8|lěi(28)
U+58DE|huài(615)
U+58DF|lǒng(28)
U+58E4|rǎng(82)
U+58E9|bà(24)
U+58EB|shì(516) shi(69)
U+58EE|zhuàng(174)
U+58EF|zhuàng(174)
U+58F0|shēng(2269) sheng(57)
U+58F3|ké(67) qiào(30)
U+58F6|hú(47)
U+58FA|hú(47)
U+58FD|shòu(20)
U+5904|chù(661) chǔ(357) chu(149)
U+5907|bèi(784)
U+590D|fù(558)
U+590F|xià(197)
U+5915|xī(30)
U+5916|wài(2233)
U+591A|duō(5568)
U+591C|yè(799)
U+591F|gòu(991)
U+5920|gòu(991)
U+5922|mèng(129)
U+5927|dà(11596) dài(177)
U+5929|tiān(5162) tian(64)
U+592A|tài(1379) tai(337)
U+592B|fu(396) fū(102)
U+592E|yāng(393)
U+5931|shī(525)
U+5934|tóu(3058) tou(715)
U+5938|kuā(43)
U+5939|jiā(95) jiá(23)
U+593A|duó(197)
U+593E|jiā(95) jiá(23)
U+5947|qí(345)
U+5948|nài(22)
U+5949|fèng(25)
U+594B|fèn(281)
U+594F|zòu(26)
U+5954|bēn(135) bèn(19)
U+5956|jiǎng(69)
U+5957|tào(227)
U+5960|diàn(26)
U+596A|duó(197)
U+596E|fèn(281)
U+5973|nǚ(1129) nü(37)
U+5974|nú(73)
U+5976|nǎi(234) nai(167)
U+5978|jiān(20)
U+5979|tā(4477)
U+597D|hǎo(6060) hāo(142) hào(115)
U+5982|rú(2323)
U+5984|wàng(48)
U+5987|fù(321) fu(28)
U+5988|mā(1288) ma(719)
U+5999|miào(81)
U+59A5|tuǒ(53)
U+59A8|fáng(22) fāng(13)
U+59B9|mèi(158) mei(100)
U+59BB|qī(69)
U+59C6|mǔ(16)
U+59CA|zǐ(10)
U+59CB|shǐ(606)
U+59D0|jie(237) jiě(180)
U+59D1|gū(433) gu(24)
U+59D3|xìng(232)
U+59D4|wěi(668)
U+59DC|jiāng(13)
U+59E8|yí(55)
U+59FB|yīn(21)
U+59FF|zī(48)
U+5A01|wēi(188)
U+5A03|wá(44) wa(44)
U+5A07|jiāo(12)
U+5A18|niang(362) niáng(279)
U+5A1B|yú(15)
U+5A31|yú(15)
U+5A36|qǔ(40)
U+5A46|pó(76) po(66)
U+5A5A|hūn(89)
U+5A66|fù(321) fu(28)
U+5A74|yīng(35)
U+5A76|shěn(172) shen(66)
U+5AB3|xí(52)
U+5ABD|mā(1288) ma(719)
U+5AC1|jià(54)
U+5AC2|sǎo(320) sao(14)
U+5ACC|xián(37)
U+5AE9|nèn(26)
U+5B0C|jiāo(12)
U+5B30|yīng(35)
U+5B38|shěn(172) shen(66)
U+5B50|zi(6853) zǐ(1114)
U+5B54|kǒng(180)
U+5B57|zì(676) zi(138)
U+5B58|cún(460)
U+5B59|sūn(19)
U+5B63|jì(238)
U+5B64|gū(54)
U+5B66|xué(5640)
U+5B69|hái(1235)
U+5B6B|sūn(19)
U+5B75|fū(21)
U+5B78|xué(5640)
U+5B81|níng(13) nìng(9)
U+5B83|tā(2984)
U+5B85|zhái(61)
U+5B87|yǔ(144)
U+5B88|shǒu(218)
U+5B89|ān(596)
U+5B8C|wán(1502)
U+5B8F|hóng(31)
U+5B97|zōng(49) zong(18)
U+5B98|guān(276)
U+5B99|zhòu(130)
U+5B9A|dìng(2655)
U+5B9C|yi(58) yí(38)
U+5B9D|bǎo(270)
U+5B9E|shí(2729) shi(200)
U+5BA1|shěn(58)
U+5BA2|kè(569)
U+5BA3|xuān(296)
U+5BA4|shì(434)
U+5BAA|xiàn(56)
U+5BAB|gōng(73)
U+5BAE|gōng(73)
U+5BB0|zǎi(13)
U+5BB3|hài(553) hai(107)
U+5BB4|yàn(34)
U+5BB5|xiāo(34)
U+5BB6|jiā(4719) jia(461)
U+5BB9|róng(822)
U+5BBD|kuān(185)
U+5BBE|bīn(9)
